YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,DT6,2924,2777
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,DT22,3623,2578
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,DT31,1656,4988
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,SW8,696,365
2024-09,WEEKDAY,5,TRAIN,BP2,2291,370
2024-09,WEEKDAY,23,TRAIN,DT13,4100,4581
2024-09,WEEKDAY,6,TRAIN,CC4/DT15,777,8971
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,CC24,559,949
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,DT23,468,814
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,BP2,488,1474
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,EW31,81,668
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,PW2,2,22
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,SW2,4295,2939
2024-09,WEEKDAY,17,TRAIN,NE9,50075,31284
2024-09,WEEKDAY,13,TRAIN,NE9,23900,21182
2024-09,WEEKDAY,12,TRAIN,NE13,23270,17392
2024-09,WEEKDAY,20,TRAIN,CC21,13925,9864
2024-09,WEEKDAY,8,TRAIN,CG2,14645,36512
2024-09,WEEKDAY,7,TRAIN,PW3,7259,5059
2024-09,WEEKDAY,20,TRAIN,EW15,63110,13816
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,NE13,9940,12057
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,NS15,7044,6838
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,NE11,2735,3245
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,EW4,8440,4488
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,NS23,29520,24331
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,DT33,8330,7589
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,TE29,2435,920
2024-09,WEEKENDS/HOLIDAY,8,TRAIN,TE8,3158,4333
2024-09,WEEKDAY,12,TRAIN,SW6,4785,2807
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,TE27,1616,766
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,EW30,1435,519
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,DT6,1917,2945
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,CC8,592,1899
2024-09,WEEKDAY,17,TRAIN,SW8,4220,2983
2024-09,WEEKDAY,15,TRAIN,BP13,925,686
2024-09,WEEKDAY,23,TRAIN,NE9,3631,10666
2024-09,WEEKDAY,22,TRAIN,SE2,939,6636
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,TE8,1018,1495
2024-09,WEEKDAY,23,TRAIN,SE1,481,3011
2024-09,WEEKDAY,0,TRAIN,NS25/EW13,4676,287
2024-09,WEEKDAY,5,TRAIN,TE24,150,1
2024-09,WEEKDAY,9,TRAIN,NS13,72443,33787
2024-09,WEEKDAY,20,TRAIN,EW33,3810,6955
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,NE12/CC13,28403,17777
2024-09,WEEKDAY,18,TRAIN,EW2/DT32,99160,192648
2024-09,WEEKDAY,22,TRAIN,NS20,15548,8650
2024-09,WEEKDAY,5,TRAIN,NS7,41526,2577
2024-09,WEEKDAY,13,TRAIN,NS24/NE6/CC1,44811,41349
2024-09,WEEKDAY,20,TRAIN,CC24,33349,6313
2024-09,WEEKDAY,19,TRAIN,TE8,15583,20657
2024-09,WEEKDAY,9,TRAIN,DT13,9141,22763
2024-09,WEEKDAY,9,TRAIN,NS14,59734,18063
2024-09,WEEKDAY,12,TRAIN,DT22,8062,9278
2024-09,WEEKDAY,6,TRAIN,TE15,2595,3256
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,CG2,15403,17316
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,NS24/NE6/CC1,29234,22124
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,BP6/DT1,21666,24756
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,PE5,2234,3128
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,EW19,2203,6824
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,EW29,6229,3607
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,SE5,1131,1535
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,NE4/DT19,4084,7557
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,TE22,4316,393
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,CC16,363,1205
2024-09,WEEKENDS/HOLIDAY,8,TRAIN,EW14/NS26,2132,9023
2024-09,WEEKDAY,17,TRAIN,CC19/DT9,12667,10360
2024-09,WEEKDAY,11,TRAIN,CG1/DT35,7177,13472
2024-09,WEEKDAY,11,TRAIN,SW1,3635,3739
2024-09,WEEKENDS/HOLIDAY,11,TRAIN,CC5,2088,3702
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,CC26,1129,1239
2024-09,WEEKDAY,8,TRAIN,SW7,8123,1604
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1076,2128
2024-09,WEEKDAY,9,TRAIN,EW29,3490,16131
2024-09,WEEKDAY,23,TRAIN,EW4,1461,10156
2024-09,WEEKDAY,6,TRAIN,PE4,2802,386
2024-09,WEEKENDS/HOLIDAY,16,TRAIN,DT2,939,1023
2024-09,WEEKENDS/HOLIDAY,0,TRAIN,EW4,36,1629
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,DT10,679,1267
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,BP13,59,236
2024-09,WEEKDAY,13,TRAIN,NS23,41201,39156
2024-09,WEEKDAY,10,TRAIN,NE13,24434,15830
2024-09,WEEKDAY,19,TRAIN,DT17,65865,8489
